config,seed,AP50,AP,APsmall,APmedium,APlarge
baseline,42,53.620949335751334,29.02488689848857,24.420514356354833,42.653116216703744,38.503978989785814
baseline,1,53.97393540053469,29.245102957049042,24.844947504036373,43.44429687712226,34.5045298675973
baseline,7,53.43604352798641,28.54637993882465,24.145552040767676,42.319228417939954,34.58754538457509
p2,42,53.96890552488528,28.90351083927815,24.638995178120275,42.47198850855313,25.61559617500212
p2,1,52.50297128796366,28.44017553064849,24.19903256671169,41.57764661638663,39.21551605710022
p2,7,51.868451749333744,28.031669580735898,23.783550851358708,41.679425014954596,42.07777198338689
p2_sa,42,52.70269109021824,28.467008126993505,24.397474757483057,41.89588062994301,23.957212204736955
p2_sa,1,52.82436019608851,28.48468548607484,24.060940780746773,41.40194608355806,26.43908737401825
p2_sa,7,52.792969996191516,28.936020159227887,24.470210735916112,42.58225104915082,29.725056119057285
full,42,53.28376572171063,29.9984972398209,25.294310617433258,43.914561136063654,37.08403783552229
full,1,53.07023789744818,29.764757009110582,25.187110272128237,43.10747255900928,31.357676211195812
full,7,53.73747841625376,29.064508107790815,24.792756652467578,42.120582162919305,28.78389164235122
