name,params_M,GFLOPs,FPS
E01_baseline,25.858,177.912,66.82
E01_baseline_1280,25.858,177.912,70.30
E01_baseline_1280_s1,25.858,177.912,67.72
E01_baseline_1280_s7,25.858,177.912,67.40
E01_baseline_vd10_960,25.858,177.912,67.58
E01_baseline_vis10_960,25.862,177.963,69.31
E02_p2,25.053,221.613,49.76
E02_p2_1280,25.053,221.613,49.42
E02_p2_1280_s1,25.053,221.613,50.00
E02_p2_1280_s7,25.053,221.613,50.48
E02_p2_vd10_960,25.053,221.613,48.64
E02_p2_vis10_960,25.055,221.716,46.02
E03_p2_ema,25.058,224.117,42.84
E04_p2_ema_mpdiou,25.058,224.117,45.08
E05_p2_ema_mpdiou_gfpn,25.243,226.240,41.80
E08_p2_mca,25.089,227.372,40.76
E09_p2_mca_mpdiou,25.089,227.372,38.68
E10_p2_mca_mpdiou_gfpn,25.273,229.495,41.15
E11_full_mca_cagfpn,26.442,242.976,43.14
E14_full_mca_cagfpn_isolated,26.442,242.976,43.02
E15_full_mca_cagfpn_p5mca,27.710,246.579,41.69
E16_mca_scale_assign,25.089,227.372,45.44
E16_mca_scale_assign_hi32,25.089,227.372,43.85
E16_mca_scale_assign_hi32_1280,25.089,227.372,45.01
E16_mca_scale_assign_hi32_1280_s1,25.089,227.372,44.71
E16_mca_scale_assign_hi32_1280_s7,25.089,227.372,43.52
E16_mca_scale_assign_hi32_s1,25.089,227.372,43.38
E16_mca_scale_assign_hi32_vd10_960,25.089,227.372,44.25
E16_mca_scale_assign_hi32_vis10_960,25.092,227.475,39.89
E17_p2_mca_p5trans_scale,26.962,229.501,38.56
E17_p2_mca_p5trans_scale_1280,26.962,229.501,37.94
E17_p2_mca_p5trans_scale_1280_s1,26.962,229.501,38.19
E17_p2_mca_p5trans_scale_smoke1280,26.962,229.501,39.33
E18_yolov11m_baseline_1280,20.055,153.444,49.36
E18_yolov11m_baseline_b1_1280,20.055,153.444,48.85
E24_yolo11m_p2_mca_scale_1280,20.615,208.789,41.02
E24_yolo11m_p2_mca_scale_1280_s1,20.615,208.789,38.54
E24_yolo11m_p2_mca_scale_1280_s7,20.615,208.789,36.51
